"","area","budget","year"
"314","west_siberia","756.392173245434","2004"
"414","fenno","1692.8945133192","2004"
"514","alaska","490.812744490844","2004"
"614","canada_tundra","446.983758105434","2004"
"714","east_canada","928.61282125225","2004"
"814","west_canada","1202.86148751058","2004"
"sum15","full","8978.7436465378","2005"
"125","Boreal","7127.11982692459","2005"
"225","Tundra","1844.80608985216","2005"
"1115","siberia_tundra","563.681754455831","2005"
"2115","east_siberia","2477.68820694789","2005"
"315","west_siberia","830.961126933352","2005"
"415","fenno","1801.78917033929","2005"
"515","alaska","469.39503044525","2005"
"615","canada_tundra","458.87237530221","2005"
"715","east_canada","1101.14602656497","2005"
"815","west_canada","1270.25877606053","2005"
"sum16","full","8939.50692556252","2006"
"126","Boreal","7064.30410207788","2006"
"226","Tundra","1868.29959048066","2006"
"1116","siberia_tundra","560.150311995285","2006"
"2116","east_siberia","2448.14268727648","2006"
"316","west_siberia","763.84095220207","2006"
"416","fenno","1781.79513353212","2006"
"516","alaska","433.306420991072","2006"
"616","canada_tundra","497.819964952517","2006"
"716","east_canada","1093.05316542646","2006"
"816","west_canada","1356.29533156969","2006"
"sum17","full","8911.60268727615","2007"
"127","Boreal","7017.22390107568","2007"
"227","Tundra","1887.60534902844","2007"
"1117","siberia_tundra","576.666026112026","2007"
"2117","east_siberia","2523.32855404081","2007"
"317","west_siberia","792.504447276409","2007"
"417","fenno","1791.74184099903","2007"
"517","alaska","476.230960093945","2007"
"617","canada_tundra","471.052981780773","2007"
"717","east_canada","1005.21595615976","2007"
"817","west_canada","1269.91601270873","2007"
"sum18","full","8783.62616482523","2008"
"128","Boreal","6927.7287460974","2008"
"228","Tundra","1849.2333050066","2008"
"1118","siberia_tundra","564.454651371297","2008"
"2118","east_siberia","2580.78836451573","2008"
"318","west_siberia","754.81573503447","2008"
"418","fenno","1663.99813474379","2008"
"518","alaska","428.302047930086","2008"
"618","canada_tundra","476.001439228692","2008"
"718","east_canada","1038.03712333254","2008"
"818","west_canada","1272.30683709414","2008"
"sum19","full","8634.50829987774","2009"
"129","Boreal","6800.98181722798","2009"
"229","Tundra","1826.91493355823","2009"
"1119","siberia_tundra","551.668173842061","2009"
"2119","east_siberia","2520.95487858264","2009"
"319","west_siberia","762.53310772846","2009"
"419","fenno","1697.71484167286","2009"
"519","alaska","449.151584474563","2009"
"619","canada_tundra","464.475650882603","2009"
"719","east_canada","941.893454312097","2009"
"819","west_canada","1241.34724728426","2009"
"sum20","full","9001.73271030376","2010"
"130","Boreal","7085.31809316497","2010"
"230","Tundra","1909.6511888309","2010"
