"","area","mean","year"
"mean14","full","-605.625894787245","2004"
"124","Boreal","-405.707015001128","2004"
"224","Tundra","-997.915525974557","2004"
"1114","siberia_tundra","-1083.6149851424","2004"
"2114","east_siberia","-860.021482062013","2004"
"314","west_siberia","-176.971894123898","2004"
"414","fenno","0.595796985686955","2004"
"514","alaska","-237.815373780739","2004"
"614","canada_tundra","-1356.27280104011","2004"
"714","east_canada","-223.023479532491","2004"
"814","west_canada","-398.452119340132","2004"
"mean15","full","-474.075543329889","2005"
"125","Boreal","-282.145731078612","2005"
"225","Tundra","-850.555583427125","2005"
"1115","siberia_tundra","-940.465682728739","2005"
"2115","east_siberia","-739.650728162948","2005"
"315","west_siberia","-46.7515120773812","2005"
"415","fenno","79.2665775684607","2005"
"515","alaska","-249.306186681919","2005"
"615","canada_tundra","-1126.31199205463","2005"
"715","east_canada","-78.9380480421481","2005"
"815","west_canada","-214.669255105917","2005"
"mean16","full","-538.419869935974","2006"
"126","Boreal","-362.086326679159","2006"
"226","Tundra","-884.427668847466","2006"
"1116","siberia_tundra","-1051.95911153953","2006"
"2116","east_siberia","-867.263338977266","2006"
"316","west_siberia","-299.137270840387","2006"
"416","fenno","-19.2894857951928","2006"
"516","alaska","-364.608456372387","2006"
"616","canada_tundra","-988.592734564748","2006"
"716","east_canada","15.6076910634572","2006"
"816","west_canada","-201.286825203949","2006"
"mean17","full","-480.853385041712","2007"
"127","Boreal","-289.14567499408","2007"
"227","Tundra","-856.743756626023","2007"
"1117","siberia_tundra","-877.339122836214","2007"
"2117","east_siberia","-671.095397549426","2007"
"317","west_siberia","-31.4658960379826","2007"
"417","fenno","70.5790517508981","2007"
"517","alaska","-277.033411573023","2007"
"617","canada_tundra","-1198.38485306957","2007"
"717","east_canada","-180.773089859625","2007"
"817","west_canada","-330.040941784062","2007"
"mean18","full","-522.301408557854","2008"
"128","Boreal","-319.393869627644","2008"
"228","Tundra","-920.081480594498","2008"
"1118","siberia_tundra","-962.955227884593","2008"
"2118","east_siberia","-715.105703470236","2008"
"318","west_siberia","-63.5836724650823","2008"
"418","fenno","75.3787097956699","2008"
"518","alaska","-426.530704754546","2008"
"618","canada_tundra","-1227.0683939622","2008"
"718","east_canada","-175.009455334","2008"
"818","west_canada","-380.431943060116","2008"
"mean19","full","-590.571067375639","2009"
"129","Boreal","-417.176126269747","2009"
"229","Tundra","-930.852505059955","2009"
"1119","siberia_tundra","-1029.91653442128","2009"
"2119","east_siberia","-852.488310108623","2009"
"319","west_siberia","-298.884458346091","2009"
"419","fenno","-30.490805391872","2009"
"519","alaska","-352.868497543542","2009"
"619","canada_tundra","-1164.66496630139","2009"
"719","east_canada","-172.387538001011","2009"
"819","west_canada","-375.767677406598","2009"
"mean20","full","-513.738088634331","2010"
"130","Boreal","-353.753944239885","2010"
"230","Tundra","-827.788855515462","2010"
"1120","siberia_tundra","-982.879154832564","2010"
"2120","east_siberia","-829.879086006609","2010"
"320","west_siberia","-333.721436860281","2010"
"420","fenno","-79.2925490194862","2010"
"520","alaska","-314.951752500673","2010"
"620","canada_tundra","-929.098005296255","2010"
"720","east_canada","68.1693703511133","2010"
"820","west_canada","-170.633402551139","2010"
"mean21","full","-477.97873909053","2011"
"131","Boreal","-291.747895721063","2011"
"231","Tundra","-843.145560701473","2011"
"1121","siberia_tundra","-858.278321078165","2011"
"2121","east_siberia","-706.229401269026","2011"
"321","west_siberia","-76.1261594125412","2011"
"421","fenno","71.472670325191","2011"
"521","alaska","-346.567691071879","2011"
"621","canada_tundra","-1132.85693136435","2011"
"721","east_canada","-118.768674612273","2011"
"821","west_canada","-284.840764501554","2011"
"mean22","full","-523.102046585426","2012"
"132","Boreal","-340.88701127654","2012"
"232","Tundra","-880.413551681731","2012"
"1122","siberia_tundra","-909.971161126257","2012"
"2122","east_siberia","-799.898395461819","2012"
"322","west_siberia","-117.350506799395","2012"
"422","fenno","-7.15482459482498","2012"
"522","alaska","-466.608503322898","2012"
"622","canada_tundra","-1115.83710085759","2012"
"722","east_canada","-25.6563350003039","2012"
"822","west_canada","-291.626438352966","2012"
"mean23","full","-535.020450606927","2013"
"133","Boreal","-337.800962606807","2013"
"233","Tundra","-921.796023940184","2013"
"1123","siberia_tundra","-977.239361897062","2013"
"2123","east_siberia","-753.449788659023","2013"
"323","west_siberia","-116.429033773138","2013"
"423","fenno","47.4508347542709","2013"
"523","alaska","-309.521828595213","2013"
"623","canada_tundra","-1241.09840853607","2013"
"723","east_canada","-202.935978117623","2013"
"823","west_canada","-342.022949063475","2013"
"mean24","full","-515.918818375271","2014"
"134","Boreal","-348.942875861047","2014"
"234","Tundra","-843.673915815461","2014"
"1124","siberia_tundra","-907.061927951939","2014"
"2124","east_siberia","-737.658403160964","2014"
"324","west_siberia","-221.676917153228","2014"
"424","fenno","52.2390098408979","2014"
"524","alaska","-158.29224749567","2014"
"624","canada_tundra","-1160.38281901443","2014"
"724","east_canada","-239.523649296054","2014"
"824","west_canada","-341.52169447238","2014"
"mean25","full","-474.688637863704","2015"
"135","Boreal","-267.454022431652","2015"
"235","Tundra","-880.961548331629","2015"
"1125","siberia_tundra","-917.052190930636","2015"
"2125","east_siberia","-674.752113993575","2015"
"325","west_siberia","-42.7535805186691","2015"
"425","fenno","82.37822143905","2015"
"525","alaska","-191.432952760067","2015"
"625","canada_tundra","-1260.96621296339","2015"
"725","east_canada","-223.345101107696","2015"
"825","west_canada","-208.440649149582","2015"
"mean26","full","-446.973693921307","2016"
"136","Boreal","-278.948437423395","2016"
"236","Tundra","-776.691763812704","2016"
"1126","siberia_tundra","-812.278089403105","2016"
"2126","east_siberia","-738.070767123249","2016"
"326","west_siberia","-77.9914619570309","2016"
"426","fenno","91.5911669751683","2016"
"526","alaska","-74.6974047494548","2016"
"626","canada_tundra","-1116.18037229101","2016"
"726","east_canada","-134.135090612957","2016"
"826","west_canada","-161.068198728943","2016"
