"","area","budget","year"
"sum14","full","-87.2943251024236","2004"
"124","Boreal","-190.899530540077","2004"
"224","Tundra","103.399794403755","2004"
"1114","siberia_tundra","29.406761143655","2004"
"2114","east_siberia","19.8327929086677","2004"
"314","west_siberia","-69.0323572099776","2004"
"414","fenno","-68.1373460876467","2004"
"514","alaska","-9.75189178934068","2004"
"614","canada_tundra","33.9280301553232","2004"
"714","east_canada","2.9397635055094","2004"
"814","west_canada","-26.509323424832","2004"
"sum15","full","-336.399820792864","2005"
"125","Boreal","-414.130577447436","2005"
"225","Tundra","77.5020617810946","2005"
"1115","siberia_tundra","11.3716239387565","2005"
"2115","east_siberia","-96.7457497254089","2005"
"315","west_siberia","-91.2107766382085","2005"
"415","fenno","-85.5684819608725","2005"
"515","alaska","-8.58514015283856","2005"
"615","canada_tundra","30.5793842185386","2005"
"715","east_canada","-52.0417676199458","2005"
"815","west_canada","-44.2086476024567","2005"
"sum16","full","-265.741189308465","2006"
"126","Boreal","-353.598982978081","2006"
"226","Tundra","87.6712415336416","2006"
"1116","siberia_tundra","19.5550820293651","2006"
"2116","east_siberia","-32.7997942628631","2006"
"316","west_siberia","-71.7178147588117","2006"
"416","fenno","-79.2400316379722","2006"
"516","alaska","11.014294615967","2006"
"616","canada_tundra","16.5920798486164","2006"
"716","east_canada","-57.545207965682","2006"
"816","west_canada","-71.5674396949152","2006"
"sum17","full","-227.720670570932","2007"
"127","Boreal","-318.806148564382","2007"
"227","Tundra","90.8518716691972","2007"
"1117","siberia_tundra","25.5665970749233","2007"
"2117","east_siberia","-55.095860765802","2007"
"317","west_siberia","-74.8930728620366","2007"
"417","fenno","-79.7978760283732","2007"
"517","alaska","-5.00349304267196","2007"
"617","canada_tundra","23.2780443811288","2007"
"717","east_canada","-23.9972401376201","2007"
"817","west_canada","-37.8085292863496","2007"
"sum18","full","-173.214860973089","2008"
"128","Boreal","-284.31232688738","2008"
"228","Tundra","110.93229071305","2008"
"1118","siberia_tundra","39.1943402160204","2008"
"2118","east_siberia","-51.5827126884061","2008"
"318","west_siberia","-64.7904399233505","2008"
"418","fenno","-51.4749446940154","2008"
"518","alaska","11.7379792647418","2008"
"618","canada_tundra","19.187784693787","2008"
"718","east_canada","-36.833825814594","2008"
"818","west_canada","-38.5831170122927","2008"
"sum19","full","-210.009047447279","2009"
"129","Boreal","-308.633115887286","2009"
"229","Tundra","98.4407138954249","2009"
"1119","siberia_tundra","30.112378110718","2009"
"2119","east_siberia","-58.3525901612128","2009"
